Car_Number	,Initial_Read,Final_Read,Difference_In_Readings,Date_Recorded,Time_Recorded,Type_of_Car,Commercial_yes_no,State_Registered,Weather,Location,Name,,
1,33,33,0,4/2/2025,12:25:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
2,33,33,0,4/2/2025,12:25:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,TYPE OF VEHICLES
3,31,31,0,4/2/2025,12:30:00 PM,4,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,1. Emergency
4,30,30,0,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,2. Hatchback
5,29,29,0,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,3. Sedan
6,31,32,-1,4/2/2025,12:30:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,4. SUV
7,31,32,-1,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,5. Van
8,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,6. Minivan
9,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,7. Motorcycle
10,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,8. Coupe
11,27,29,-2,4/2/2025,12:30:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,9. Truck
12,27,29,-2,4/2/2025,12:30:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,10. Pickup Truck
13,35,35,0,4/2/2025,12:30:00 PM,9,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
14,31,31,0,4/2/2025,12:30:00 PM,5,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
15,35,35,0,4/2/2025,12:35:00 PM,10,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
16,30,30,0,4/2/2025,12:35:00 PM,9,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
17,28,28,0,4/2/2025,12:35:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
18,34,34,0,4/2/2025,12:35:00 PM,9,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
19,35,36,-1,4/2/2025,12:35:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
20,30,32,-2,4/2/2025,12:35:00 PM,3,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
21,36,37,-1,4/2/2025,12:35:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
22,32,33,-1,4/2/2025,12:35:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
23,31,32,-1,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
24,34,37,-3,4/2/2025,12:40:00 PM,9,Y,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
25,28,29,-1,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
26,30,30,0,4/2/2025,12:40:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
27,30,30,0,4/2/2025,12:40:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
28,38,37,1,4/2/2025,12:40:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
29,30,30,0,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
30,30,32,-2,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
31,30,30,0,4/2/2025,12:40:00 PM,10,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
32,29,29,0,4/2/2025,12:40:00 PM,4,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
33,30,32,-2,4/2/2025,12:40:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
34,37,37,0,4/2/2025,12:40:00 PM,4,N,N/A,RAINY,Thorson-Lucken Field,Tanner Buol,,
35,30,30,0,4/2/2025,12:45:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
36,29,29,0,4/2/2025,12:45:00 PM,3,N,TX,RAINY,Thorson-Lucken Field,Tanner Buol,,
37,30,30,0,4/2/2025,12:45:00 PM,6,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
38,29,30,-1,4/2/2025,12:45:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
39,33,34,-1,4/2/2025,12:45:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
40,34,34,0,4/2/2025,12:45:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
41,37,37,0,4/2/2025,12:45:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
42,33,33,0,4/2/2025,12:45:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
43,27,28,-1,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
44,28,28,0,4/2/2025,12:50:00 PM,8,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
45,33,33,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
46,33,34,-1,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
47,33,32,1,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
48,30,30,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
49,33,34,-1,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
50,34,33,1,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
51,27,27,0,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
52,29,30,-1,4/2/2025,12:50:00 PM,6,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
53,34,34,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
54,35,35,0,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
55,35,35,0,4/2/2025,12:50:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
56,35,35,0,4/2/2025,12:50:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
57,33,32,1,4/2/2025,12:55:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
58,37,37,0,4/2/2025,12:55:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
59,35,35,0,4/2/2025,12:55:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
60,37,37,0,4/2/2025,12:55:00 PM,6,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
61,35,41,-6,4/2/2025,12:55:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
62,27,28,-1,4/2/2025,12:55:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
63,29,29,0,4/2/2025,12:55:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
64,30,31,-1,4/2/2025,12:55:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
65,30,30,0,4/2/2025,12:55:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
66,30,30,0,4/2/2025,12:55:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
67,33,33,0,4/2/2025,12:55:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
68,40,40,0,4/2/2025,12:55:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
69,32,32,0,4/2/2025,1:00:00 PM,6,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
70,25,25,0,4/2/2025,1:00:00 PM,4,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
71,24,28,-4,4/2/2025,1:00:00 PM,4,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
72,34,34,0,4/2/2025,1:00:00 PM,10,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
73,29,31,-2,4/2/2025,1:00:00 PM,3,N,IA,RAINY,Thorson-Lucken Field,Tanner Buol,,
74,31,32,-1,4/2/2025,1:00:00 PM,4,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
75,32,32,0,4/2/2025,1:00:00 PM,3,N,IL,RAINY,Thorson-Lucken Field,Tanner Buol,,
76,26,26,0,4/7/2025,9:05:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
77,35,34,1,4/7/2025,9:05:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
78,34,34,0,4/7/2025,9:05:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
79,34,34,0,4/7/2025,9:05:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
80,34,31,3,4/7/2025,9:05:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
81,27,28,-1,4/7/2025,9:05:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
82,13,14,-1,4/7/2025,9:05:00 AM,10,Y,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
83,18,15,3,4/7/2025,9:05:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
84,24,25,-1,4/7/2025,9:05:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
85,34,34,0,4/7/2025,9:10:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
86,31,31,0,4/7/2025,9:10:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
87,27,27,0,4/7/2025,9:10:00 AM,4,N,IA,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
88,37,23,14,4/7/2025,9:10:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
89,33,31,2,4/7/2025,9:10:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
90,31,32,-1,4/7/2025,9:10:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
91,32,21,11,4/7/2025,9:10:00 AM,5,Y,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
92,39,39,0,4/7/2025,9:10:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
93,35,36,-1,4/7/2025,9:10:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
94,28,27,1,4/7/2025,9:10:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
95,35,34,1,4/7/2025,9:15:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
96,39,38,1,4/7/2025,9:15:00 AM,4,N,N/A,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
97,33,34,-1,4/7/2025,9:15:00 AM,2,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
98,29,29,0,4/7/2025,9:15:00 AM,8,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
99,29,28,1,4/7/2025,9:15:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
100,30,31,-1,4/7/2025,9:15:00 AM,4,Y,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
101,29,28,1,4/7/2025,9:15:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
102,36,35,1,4/7/2025,9:15:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
103,35,35,0,4/7/2025,9:15:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
104,36,35,1,4/7/2025,9:20:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
105,35,32,3,4/7/2025,9:20:00 AM,2,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
106,36,36,0,4/7/2025,9:20:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
107,33,32,1,4/7/2025,9:20:00 AM,6,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
108,35,33,2,4/7/2025,9:20:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
109,35,36,-1,4/7/2025,9:20:00 AM,10,Y,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
110,34,34,0,4/7/2025,9:20:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
111,32,32,0,4/7/2025,9:25:00 AM,6,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
112,32,31,1,4/7/2025,9:25:00 AM,10,Y,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
113,26,28,-2,4/7/2025,9:25:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
114,32,33,-1,4/7/2025,9:25:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
115,30,31,-1,4/7/2025,9:25:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
116,34,34,0,4/7/2025,9:25:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
117,36,30,6,4/7/2025,9:25:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
118,29,29,0,4/7/2025,9:25:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
119,30,30,0,4/7/2025,9:30:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
120,33,33,0,4/7/2025,9:30:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
121,30,29,1,4/7/2025,9:30:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
122,33,27,6,4/7/2025,9:30:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
123,30,30,0,4/7/2025,9:30:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
124,29,28,1,4/7/2025,9:30:00 AM,2,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
125,28,27,1,4/7/2025,9:30:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
126,33,33,0,4/7/2025,9:30:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
127,37,38,-1,4/7/2025,9:30:00 AM,2,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
128,35,36,-1,4/7/2025,9:30:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
129,38,37,1,4/7/2025,9:30:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
130,41,36,5,4/7/2025,9:30:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
131,34,29,5,4/7/2025,9:30:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
132,30,30,0,4/7/2025,9:30:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
133,30,30,0,4/7/2025,9:30:00 AM,5,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
134,39,39,0,4/7/2025,9:30:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
135,28,28,0,4/7/2025,9:30:00 AM,5,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
136,37,34,3,4/7/2025,9:35:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
137,30,30,0,4/7/2025,9:35:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
138,30,31,-1,4/7/2025,9:35:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
139,37,38,-1,4/7/2025,9:35:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
140,36,28,8,4/7/2025,9:35:00 AM,3,N,IA,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
141,33,32,1,4/7/2025,9:35:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
142,35,32,3,4/7/2025,9:35:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
143,32,32,0,4/7/2025,9:35:00 AM,3,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
144,29,30,-1,4/7/2025,9:35:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
145,30,31,-1,4/7/2025,9:35:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
146,36,34,2,4/7/2025,9:40:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
147,32,32,0,4/7/2025,9:40:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
148,32,32,0,4/7/2025,9:40:00 AM,10,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
149,33,34,-1,4/7/2025,9:40:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
150,40,39,1,4/7/2025,9:40:00 AM,4,N,IL,SUNNY,Thorson-Lucken Field,Sasha Botsul,,
151,30,31,-1,4/10/25,5:50:00 PM,9,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
152,31,31,0,4/10/25,5:50:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
153,31,33,-2,4/10/25,5:50:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
154,33,35,-2,4/10/25,5:50:00 PM,9,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
155,27,28,-1,4/10/25,5:50:00 PM,10,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
156,24,26,-2,4/10/25,5:50:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
157,26,26,0,4/10/25,5:50:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
158,26,23,3,4/10/25,5:50:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
159,26,27,-1,4/10/25,5:50:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
160,28,29,-1,4/10/25,5:55:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
161,29,30,-1,4/10/25,5:55:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
162,29,32,-3,4/10/25,5:55:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
163,28,30,-2,4/10/25,5:55:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
164,25,27,-2,4/10/25,5:55:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
165,30,31,-1,4/10/25,5:55:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
166,31,33,-2,4/10/25,5:55:00 PM,10,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
167,33,33,0,4/10/25,5:55:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
168,37,35,2,4/10/25,5:55:00 PM,8,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
169,28,30,-2,4/10/25,5:55:00 PM,1,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
170,30,33,-3,4/10/25,5:55:00 PM,1,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
171,37,37,0,4/10/25,5:55:00 PM,10,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
172,36,36,0,4/10/25,5:55:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
173,28,30,-2,4/10/25,6:00:00 PM,2,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
174,35,35,0,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
175,29,29,0,4/10/25,6:00:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
176,37,37,0,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
177,31,32,-1,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
178,27,27,0,4/10/25,6:00:00 PM,6,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
179,31,33,-2,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
180,32,33,-1,4/10/25,6:00:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
181,29,31,-2,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
182,25,19,6,4/10/25,6:00:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
183,25,23,2,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
184,28,31,-3,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
185,35,25,10,4/10/25,6:00:00 PM,10,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
186,20,25,-5,4/10/25,6:00:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
187,28,28,0,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
188,28,28,0,4/10/25,6:05:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
189,31,31,0,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
190,31,32,-1,4/10/25,6:05:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
191,27,26,1,4/10/25,6:05:00 PM,5,Y,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
192,29,31,-2,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
193,29,28,1,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
194,28,29,-1,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
195,28,26,2,4/10/25,6:05:00 PM,2,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
196,26,26,0,4/10/25,6:05:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
197,29,29,0,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
198,29,34,-5,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
199,22,24,-2,4/10/25,6:05:00 PM,2,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
200,27,28,-1,4/10/25,6:05:00 PM,2,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
201,28,28,0,4/10/25,6:05:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
202,27,30,-3,4/10/25,6:05:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
203,33,33,0,4/10/25,6:10:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
204,33,33,0,4/10/25,6:10:00 PM,2,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
205,29,31,-2,4/10/25,6:10:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
206,28,27,1,4/10/25,6:10:00 PM,6,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
207,25,26,-1,4/10/25,6:10:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
208,26,26,0,4/10/25,6:10:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
209,33,35,-2,4/10/25,6:10:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
210,29,28,1,4/10/25,6:10:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
211,26,27,-1,4/10/25,6:10:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
212,22,29,-7,4/10/25,6:10:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
213,31,32,-1,4/10/25,6:10:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
214,30,31,-1,4/10/25,6:15:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
215,31,32,-1,4/10/25,6:15:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
216,31,32,-1,4/10/25,6:15:00 PM,10,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
217,34,34,0,4/10/25,6:15:00 PM,2,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
218,15,21,-6,4/10/25,6:15:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
219,30,29,1,4/10/25,6:15:00 PM,10,N,IA,SUNNY,Thorson-Lucken Field,Logan Farley,,
220,35,35,0,4/10/25,6:15:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
221,30,30,0,4/10/25,6:15:00 PM,4,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
222,35,35,0,4/10/25,6:15:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
223,26,28,-2,4/10/25,6:15:00 PM,3,N,WI,SUNNY,Thorson-Lucken Field,Logan Farley,,
224,30,31,-1,4/10/25,6:15:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,
225,27,2,25,4/10/25,6:20:00 PM,3,N,IL,SUNNY,Thorson-Lucken Field,Logan Farley,,